10:31:02.905 [http-nio-8791-exec-7] INFO  c.e.m.c.DynamicDataSource - [determineCurrentLookupKey,28] - 当前请求线程ID:51,determineCurrentLookupKey拿到数据源:DB0
10:31:02.930 [http-nio-8791-exec-8] INFO  c.e.m.c.DynamicDataSourceContextHolder - [setDataSourceType,24] - DynamicDataSourceContextHolder.setDataSourceType-->设置当前数据源:DB0,当前请求线程ID:52
10:31:02.932 [http-nio-8791-exec-8] INFO  c.e.mds.aop.DSAspect - [doBefore,48] - 当前请求线程ID:52,doBefore设置当前数据源:DB0
10:31:02.933 [http-nio-8791-exec-8] INFO  c.e.m.c.MultiDataSourcesController - [test,25] - /multi/data/sources/test-->当前请求线程ID:52
10:31:02.934 [http-nio-8791-exec-8] INFO  c.e.m.s.MultiDataSourcesService - [test,54] - service执行mapper数据库操作-->当前请求线程ID:52
10:31:02.936 [http-nio-8791-exec-8] INFO  c.e.m.c.DynamicDataSource - [determineCurrentLookupKey,28] - 当前请求线程ID:52,determineCurrentLookupKey拿到数据源:DB0
10:31:02.963 [http-nio-8791-exec-9] INFO  c.e.m.c.DynamicDataSourceContextHolder - [setDataSourceType,24] - DynamicDataSourceContextHolder.setDataSourceType-->设置当前数据源:DB1,当前请求线程ID:53
10:31:02.965 [http-nio-8791-exec-9] INFO  c.e.mds.aop.DSAspect - [doBefore,48] - 当前请求线程ID:53,doBefore设置当前数据源:DB1
10:31:02.966 [http-nio-8791-exec-9] INFO  c.e.m.c.MultiDataSourcesController - [test,25] - /multi/data/sources/test-->当前请求线程ID:53
10:31:02.967 [http-nio-8791-exec-9] INFO  c.e.m.s.MultiDataSourcesService - [test,54] - service执行mapper数据库操作-->当前请求线程ID:53
10:31:02.969 [http-nio-8791-exec-9] INFO  c.e.m.c.DynamicDataSource - [determineCurrentLookupKey,28] - 当前请求线程ID:53,determineCurrentLookupKey拿到数据源:DB1
10:31:03.021 [http-nio-8791-exec-10] INFO  c.e.m.c.DynamicDataSourceContextHolder - [setDataSourceType,24] - DynamicDataSourceContextHolder.setDataSourceType-->设置当前数据源:DB2,当前请求线程ID:54
10:31:03.023 [http-nio-8791-exec-10] INFO  c.e.mds.aop.DSAspect - [doBefore,48] - 当前请求线程ID:54,doBefore设置当前数据源:DB2
10:31:03.025 [http-nio-8791-exec-10] INFO  c.e.m.c.MultiDataSourcesController - [test,25] - /multi/data/sources/test-->当前请求线程ID:54
10:31:03.026 [http-nio-8791-exec-10] INFO  c.e.m.s.MultiDataSourcesService - [test,54] - service执行mapper数据库操作-->当前请求线程ID:54
10:31:03.027 [http-nio-8791-exec-10] INFO  c.e.m.c.DynamicDataSource - [determineCurrentLookupKey,28] - 当前请求线程ID:54,determineCurrentLookupKey拿到数据源:DB2
10:31:03.117 [http-nio-8791-exec-11] INFO  c.e.m.c.DynamicDataSourceContextHolder - [setDataSourceType,24] - DynamicDataSourceContextHolder.setDataSourceType-->设置当前数据源:DB2,当前请求线程ID:64
10:31:03.119 [http-nio-8791-exec-11] INFO  c.e.mds.aop.DSAspect - [doBefore,48] - 当前请求线程ID:64,doBefore设置当前数据源:DB2
10:31:03.118 [http-nio-8791-exec-12] INFO  c.e.m.c.DynamicDataSourceContextHolder - [setDataSourceType,24] - DynamicDataSourceContextHolder.setDataSourceType-->设置当前数据源:DB2,当前请求线程ID:65
